"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"125","33","STRING Clusters","","Formation of the cornified envelope, and Autosomal recessive congenital ichthyosis","2.74E-50","KRT14|TGM1|KRT5|KRT1|DSG3|DSG1|DSC1|PKP1|KRT10|ADGRF4|KRT78|SPRR1B|KRT2|ALOXE3|KLK5|KRTDAP|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A|SBSN|KPRP","128","217|265|337|376|325|307|388|319|259|904|475|271|358|448|253|289|466|394|277|331|400|382|424|247|301|313|433|283|295|409|367|343|649","6.0E-54","","CL:34115","4.956224943717961","0"
"151","34","STRING Clusters","","Mixed, incl. Formation of the cornified envelope, and Establishment of skin barrier","2.79E-50","KRT14|TGM1|KRT5|KRT1|DSG3|DSG1|DSC1|PKP1|ZNF750|KRT10|ADGRF4|KRT78|SPRR1B|KRT2|ALOXE3|KLK5|KRTDAP|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A|SBSN|KPRP","128","217|265|337|376|325|307|388|319|220|259|904|475|271|358|448|253|289|466|394|277|331|400|382|424|247|301|313|433|283|295|409|367|343|649","1.22E-53","","CL:34114","4.955439579672641","0"
"119","32","STRING Clusters","","Formation of the cornified envelope, and Autosomal recessive congenital ichthyosis","3.13E-49","KRT14|TGM1|KRT5|KRT1|DSG3|DSG1|DSC1|PKP1|KRT10|KRT78|SPRR1B|KRT2|ALOXE3|KLK5|KRTDAP|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A|SBSN|KPRP","128","217|265|337|376|325|307|388|319|259|475|271|358|448|253|289|466|394|277|331|400|382|424|247|301|313|433|283|295|409|367|343|649","2.05E-52","","CL:34116","4.850445566245355","0"
"105","30","STRING Clusters","","Formation of the cornified envelope, and Serpin, conserved site","1.49E-46","KRT14|KRT5|KRT1|DSG3|DSG1|DSC1|PKP1|KRT10|KRT78|SPRR1B|KRT2|KLK5|KRTDAP|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A|SBSN|KPRP","128","217|337|376|325|307|388|319|259|475|271|358|253|289|466|394|277|331|400|382|424|247|301|313|433|283|295|409|367|343|649","1.3E-49","","CL:34117","4.582681373158772","0"
"59","24","GO Cellular Component","","Cornified envelope","4.08E-39","TGM1|KRT1|DSG3|DSG1|DSC1|PKP1|CSTA|KRT10|SCEL|SPRR1B|KRT2|KRT77|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14","128","265|376|325|307|388|319|442|259|352|271|358|466|277|331|400|382|424|247|301|313|433|283|295|409","1.99E-42","","GO:0001533","3.8389339836910117","0"
"128","27","Reactome Pathways","","Formation of the cornified envelope","6.68E-38","KRT14|TGM1|KRT5|KRT1|DSG3|DSG1|DSC1|PKP1|CSTA|KRT10|KRT78|SPRR1B|KRT2|KLK5|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|CASP14|LCE6A","128","217|265|337|376|325|307|388|319|442|259|475|271|358|253|466|394|277|331|400|382|424|247|301|313|433|409|367","2.93E-41","","HSA-6809371","3.7175223537524453","0"
"43","21","COMPARTMENTS","","Cornified envelope","5.07E-35","TGM1|KRT1|DSG3|DSG1|DSC1|PKP1|CSTA|KRT10|SCEL|SPRR1B|KRT2|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|FLG2","128","265|376|325|307|388|319|442|259|352|271|358|277|331|400|382|424|247|301|313|433|295","2.2E-38","","GOCC:0001533","3.4294992040666665","0"
"61","22","STRING Clusters","","Keratinization, and Cornified envelope","6.81E-35","KRT1|DSG3|DSG1|DSC1|PKP1|KRT10|SPRR1B|KRT2|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|FLG2|CASP14|LCE6A","128","376|325|307|388|319|259|271|358|466|394|277|331|400|382|424|247|301|313|433|295|409|367","7.45E-38","","CL:34119","3.416685288808721","0"
"138","22","GO Biological Process","","Keratinocyte differentiation","8.81E-27","TGM1|KRT5|KRT1|CSTA|KRT10|SCEL|KRT78|SPRR1B|KRT2|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|CASP14|LCE6A","128","265|337|376|442|259|352|475|271|358|253|466|394|331|400|382|424|247|301|313|433|409|367","5.62E-31","","GO:0030216","2.6055024091587953","0"
"320","26","GO Biological Process","","Epidermis development","7.65E-26","KRT14|TGM1|KRT5|KRT1|CSTA|ZNF750|KRT10|SCEL|KRT78|SPRR1B|KRT2|KLK5|KRTDAP|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|FLG2|CASP14|LCE6A","128","217|265|337|376|442|220|259|352|475|271|358|253|289|466|394|331|400|382|424|247|301|313|433|295|409|367","9.76E-30","","GO:0008544","2.5116338564846385","0"
